1,광진구 중곡동,대원국제중학교,164명,100.00%,100.00%,100.00%,100.00%,27.10%,44명,162명
,,,,,,,,,(7명/37명),
2,강북구 미아동,영훈국제중학교,157명,98.30%,98.70%,100.00%,96.20%,27.60%,45명,163명
,,,,,,,,,(4명/41명),
3,강남구 수서동,대왕중학교,298명,97.60%,99.00%,97.70%,96.30%,1.80%,5명,265명
,,,,,,,,,(1명/4명),
4,광진구 광장동,광남중학교,389명,97.60%,99.00%,97.20%,96.70%,7.70%,28명,363명
,,,,,,,,,(10명/18명),
5,강남구 압구정1동,압구정중학교,152명,97.60%,98.70%,98.00%,96.10%,8.80%,11명,124명
,,,,,,,,,(1명/10명),
6,송파구 방이동,오륜중학교,269명,97.20%,98.90%,98.50%,94.40%,7.40%,13명,175명
,,,,,,,,,(0명/13명),
7,강남구 대치동,대청중학교,329명,97.10%,97.00%,98.80%,95.70%,3.80%,12명,315명
,,,,,,,,,(3명/9명),
8,양천구 목동,목운중학교,484명,96.40%,98.40%,96.90%,94.00%,6.00%,27명,449명
,,,,,,,,,(8명/19명),
9,양천구 목동,월촌중학교,501명,95.80%,97.40%,96.20%,93.80%,5.10%,23명,450명
,,,,,,,,,(5명/18명),
10,서초구 서초동,서운중학교,348명,95.50%,99.10%,95.70%,91.90%,2.90%,9명,307명
,,,,,,,,,(2명/7명),
11,강남구 대치동,대명중학교,343명,95.20%,97.70%,97.40%,90.70%,3.80%,12명,313명
,,,,,,,,,(2명/10명),
12,양천구 목동,신목중학교,540명,95.00%,97.40%,94.60%,93.20%,3.90%,19명,479명
,,,,,,,,,(3명/16명),
13,강남구 압구정동,신사중학교,141명,94.80%,97.20%,94.30%,92.90%,3.50%,5명,141명
,,,,,,,,,(1명/4명),
14,송파구 신천동,잠실중학교,402명,94.70%,96.80%,95.80%,91.50%,5.10%,16명,312명
,,,,,,,,,(5명/11명),
15,강남구 대치동,단국대학교사범대학부속중학교,191명,94.60%,94.20%,94.80%,94.80%,1.60%,3명,181명
,,,,,,,,,(2명/1명),
16,강남구 역삼동,역삼중학교,376명,94.30%,98.20%,94.20%,90.70%,5.80%,23명,393명
,,,,,,,,,(9명/14명),
17,종로구 홍지동,상명대학교사범대학부속여자중학교,128명,94.20%,100.00%,94.50%,88.30%,2.10%,2명,92명
,,,,,,,,,(0명/2명),
18,강남구 도곡동,도곡중학교,221명,94.20%,96.80%,95.50%,90.50%,5.70%,12명,208명
,,,,,,,,,(7명/5명),
19,강남구 개포동,구룡중학교,230명,94.20%,97.40%,95.20%,90.00%,3.70%,9명,239명
,,,,,,,,,(0명/9명),
20,양천구 신정7동,봉영여자중학교,199명,94.10%,98.50%,95.00%,88.90%,2.90%,4명,134명
,,,,,,,,,(0명/4명),
21,서초구 반포동,원촌중학교,326명,94.10%,98.20%,93.00%,91.10%,0.70%,2명,262명
,,,,,,,,,(0명/2명),
22,서초구 반포동,세화여자중학교,323명,94.00%,97.50%,94.70%,89.80%,3.50%,9명,255명
,,,,,,,,,(0명/9명),
23,서초구 서초동,서일중학교,341명,93.80%,95.90%,95.00%,90.60%,5.80%,18명,307명
,,,,,,,,,(8명/10명),
24,동작구 대방동,숭의여자중학교,197명,93.70%,98.50%,96.50%,86.30%,2.30%,4명,170명
,,,,,,,,,(0명/4명),
25,강남구 역삼동,진선여자중학교,334명,93.70%,97.30%,94.00%,89.80%,2.80%,9명,321명
,,,,,,,,,(0명/9명),
26,광진구 광장동,양진중학교,326명,93.50%,95.40%,93.30%,92.00%,3.30%,11명,329명
,,,,,,,,,(4명/7명),
27,양천구 신정동,목일중학교,467명,93.30%,94.20%,95.30%,90.60%,3.60%,15명,407명
,,,,,,,,,(3명/12명),
28,송파구 잠실2동,잠신중학교,431명,93.10%,95.60%,93.30%,90.50%,2.60%,9명,334명
,,,,,,,,,(2명/7명),
29,도봉구 창동,노곡중학교,179명,92.70%,97.80%,92.70%,87.70%,4.50%,6명,131명
,,,,,,,,,(0명/6명),
30,서초구 반포동,신반포중학교,274명,92.70%,95.30%,93.40%,89.40%,1.70%,4명,229명
,,,,,,,,,(0명/4명),
31,강남구 삼성동,언주중학교,325명,92.10%,95.70%,93.90%,86.80%,4.90%,15명,306명
,,,,,,,,,(4명/11명),
32,서초구 잠원동,경원중학교,363명,92.10%,93.70%,92.80%,89.80%,1.40%,4명,282명
,,,,,,,,,(2명/2명),
