"과목 및 유형",2024,2024,2024,2024,2024,2024,2024
"과목 및 유형",평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원)
"대상분포(%)",100.0,38.4,14.9,23.4,61.6,45.9,15.8
"사교육비",47.4,54.4,67.3,46.1,43.1,46.5,33.2
"과목: 일반교과 사교육",35.8,41.9,52.2,35.3,32.0,34.5,24.5
"국어",4.2,4.9,6.3,4.0,3.7,4.0,2.8
"영어",14.1,16.1,19.2,14.1,12.9,14.0,9.8
"수학",13.4,15.8,19.9,13.2,12.0,12.9,9.2
"사회, 과학",2.0,2.7,3.5,2.2,1.6,1.7,1.4
"논술",1.5,1.8,2.5,1.3,1.3,1.4,0.8
"제2외국어, 한문, 컴퓨터 등",0.6,0.6,0.9,0.5,0.5,0.6,0.4
"컴퓨터",0.2,0.3,0.4,0.2,0.2,0.2,0.1
"제2외국어, 한문 등",0.3,0.4,0.5,0.3,0.3,0.3,0.2
"과목: 예체능,취미,교양 사교육",11.3,12.1,14.6,10.5,10.8,11.6,8.4
"음악",3.0,3.3,4.2,2.7,2.9,3.1,2.2
"미술",1.9,2.1,2.6,1.8,1.8,2.0,1.1
"체육",5.4,5.8,6.8,5.1,5.1,5.4,4.2
"취미·교양",1.0,1.0,1.1,0.9,1.1,1.2,0.9
"과목: 취업관련 사교육",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"과목: 진로·진학 학습상담",0.2,0.2,0.3,0.1,0.2,0.2,0.1
"유형: 일반교과 사교육",35.8,41.9,52.2,35.3,32.0,34.5,24.5
"개인과외",3.7,4.3,5.4,3.6,3.2,3.6,2.3
"그룹과외",2.0,1.8,1.9,1.8,2.2,2.1,2.4
"학원수강",27.5,33.0,42.0,27.2,24.0,26.3,17.4
"방문학습지",1.1,1.2,1.2,1.1,1.0,1.0,0.9
"유료인터넷 및 통신강좌 등",1.6,1.6,1.8,1.6,1.5,1.6,1.4
"유형: 예체능,취미,교양 사교육",11.3,12.1,14.6,10.5,10.8,11.6,8.4
"개인과외",1.2,1.5,2.2,1.1,1.0,1.0,0.8
"그룹과외",0.6,0.6,0.8,0.5,0.5,0.5,0.6
"학원수강",9.1,9.5,11.1,8.6,8.9,9.7,6.6
"방문수업 및 기타",0.4,0.4,0.6,0.4,0.4,0.4,0.4
